"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","87","243","4","165","41.25","2","87","78","74","60","NO"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java","190","320","5","251","50.2","2","190","69","37","64","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","444","626","14","452","32.285714285714285","3","179","174","72","44","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","48","38","3","24","8.0","3","14","14","14","12","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","120","17","4","11","2.75","2","5","6","3","4","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","345","234","9","109","12.11111111111111","3","47","125","84","26","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","82","51","5","47","9.4","3","41","4","2","10","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","432","95","7","50","7.142857142857143","3","31","45","25","13","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","84","25","5","18","3.6","3","10","7","3","5","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","123","17","3","11","3.6666666666666665","3","11","6","6","5","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","83","0","1","0","0.0","1","0","0","0","0","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","26","53","5","28","5.6","3","22","25","22","10","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","188","20","4","20","5.0","3","10","0","0","5","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","147","408","9","225","25.0","3","138","183","138","45","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","349","653","6","503","83.83333333333333","2","349","150","89","108","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","122","9","4","5","1.25","2","3","4","2","2","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","25","0","2","0","0.0","2","0","0","0","0","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","107","23","5","12","2.4","3","5","11","5","4","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","6","2","3","1","0.3333333333333333","3","1","1","1","0","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","77","34","8","17","2.125","3","9","17","11","4","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","24","8","4","4","1.0","3","3","4","2","2","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","39","69","3","35","11.666666666666666","2","31","34","31","23","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","299","961","12","552","46.0","3","294","409","294","80","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","105","61","7","48","6.857142857142857","3","28","13","8","8","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","80","129","9","76","8.444444444444445","3","25","53","15","14","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","100","43","6","29","4.833333333333333","3","14","14","4","7","NO"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","36","6","4","3","0.75","3","1","3","1","1","NO"
