@relation file_train_step_16

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
62,62,1,62,62,1,62,0,0,62,NO
143,143,1,143,143,1,143,0,0,143,NO
65,65,1,65,65,1,65,0,0,65,NO
94,94,1,94,94,1,94,0,0,94,NO
11,11,1,11,11,1,11,0,0,11,NO
7,7,1,7,7,1,7,0,0,7,NO
21,21,1,21,21,1,21,0,0,21,NO
6,15,2,13,6.5,2,7,2,2,7,NO
11,13,2,12,6,2,11,1,1,6,NO
38,48,3,43,14.333333,2,38,5,4,16,NO
135,135,2,135,67.5,2,135,0,0,67,NO
50,50,1,50,50,1,50,0,0,50,NO
49,49,1,49,49,1,49,0,0,49,NO
14,14,1,14,14,1,14,0,0,14,NO
90,90,1,90,90,1,90,0,0,90,NO
58,58,1,58,58,1,58,0,0,58,NO
20,20,1,20,20,1,20,0,0,20,NO
6,6,1,6,6,1,6,0,0,6,NO
61,61,1,61,61,1,61,0,0,61,NO
70,70,1,70,70,1,70,0,0,70,NO
46,46,1,46,46,1,46,0,0,46,NO
25,25,1,25,25,1,25,0,0,25,NO
141,141,1,141,141,1,141,0,0,141,NO
14,14,1,14,14,1,14,0,0,14,NO
9,9,1,9,9,1,9,0,0,9,NO
92,92,1,92,92,1,92,0,0,92,NO
49,49,1,49,49,1,49,0,0,49,NO
22,22,1,22,22,1,22,0,0,22,NO
45,45,1,45,45,1,45,0,0,45,NO
19,19,1,19,19,1,19,0,0,19,NO
52,52,1,52,52,1,52,0,0,52,NO
100,100,1,100,100,1,100,0,0,100,NO
42,42,1,42,42,1,42,0,0,42,NO
18,18,1,18,18,1,18,0,0,18,NO
20,20,1,20,20,1,20,0,0,20,NO
35,35,1,35,35,1,35,0,0,35,NO
96,96,1,96,96,1,96,0,0,96,NO
62,62,1,62,62,1,62,0,0,62,NO
22,22,1,22,22,1,22,0,0,22,NO
24,24,1,24,24,1,24,0,0,24,NO
34,34,1,34,34,1,34,0,0,34,NO
55,55,1,55,55,1,55,0,0,55,NO
15,15,1,15,15,1,15,0,0,15,NO
90,112,2,112,56,2,90,0,0,56,NO
147,147,1,147,147,1,147,0,0,147,NO
107,107,1,107,107,1,107,0,0,107,NO
41,41,1,41,41,1,41,0,0,41,NO
54,54,1,54,54,1,54,0,0,54,NO
75,82,2,82,41,2,75,0,0,41,NO
22,22,1,22,22,1,22,0,0,22,NO
60,60,1,60,60,1,60,0,0,60,NO
11,11,1,11,11,1,11,0,0,11,NO
38,61,2,61,30.5,2,38,0,0,30,NO
48,48,1,48,48,1,48,0,0,48,NO
144,144,1,144,144,1,144,0,0,144,NO
11,11,1,11,11,1,11,0,0,11,NO
19,19,1,19,19,1,19,0,0,19,NO
82,82,1,82,82,1,82,0,0,82,NO
100,100,1,100,100,1,100,0,0,100,NO
240,282,2,269,134.5,2,240,13,13,141,NO
30,30,1,30,30,1,30,0,0,30,NO
61,61,1,61,61,1,61,0,0,61,NO
56,56,1,56,56,1,56,0,0,56,NO
42,42,1,42,42,1,42,0,0,42,NO
7,7,1,7,7,1,7,0,0,7,NO
90,90,1,90,90,1,90,0,0,90,NO
6,6,1,6,6,1,6,0,0,6,NO
173,173,1,173,173,1,173,0,0,173,NO
61,67,2,64,32,1,61,3,3,33,NO
14,14,1,14,14,1,14,0,0,14,NO
7,7,1,7,7,1,7,0,0,7,NO
57,64,2,64,32,2,57,0,0,32,NO
35,35,1,35,35,1,35,0,0,35,NO
12,12,1,12,12,1,12,0,0,12,NO
